,Hospital_ID,District_ID,Instrument_ID,Annual_Projected_Revenue,Sumperemp
100,Hospital 1014,District 15,Instrument 2,31212,31212.0
101,Hospital 1014,District 15,Instrument 3,17908,17908.0
102,Hospital 1014,District 15,Instrument 5,4800,4800.0
103,Hospital 1014,District 17,Instrument 2,20992,20992.0
104,Hospital 1014,District 17,Instrument 3,14424,14424.0
105,Hospital 1014,District 19,Instrument 2,25935,418.30645161290323
106,Hospital 1014,District 20,Instrument 2,81888,81888.0
107,Hospital 1014,District 20,Instrument 3,119544,119544.0
108,Hospital 1014,District 28,Instrument 2,186264,5174.0
109,Hospital 1014,District 28,Instrument 3,96810,2689.1666666666665
110,Hospital 1014,District 28,Instrument 4,29016,806.0
111,Hospital 1014,District 3,Instrument 2,21562,21562.0
112,Hospital 1014,District 32,Instrument 2,27000,27000.0
113,Hospital 1014,District 32,Instrument 3,18000,18000.0
114,Hospital 1014,District 34,Instrument 2,11670,11670.0
115,Hospital 1014,District 34,Instrument 3,24474,24474.0
116,Hospital 1014,District 34,Instrument 4,1224,1224.0
117,Hospital 1014,District 39,Instrument 2,29712,690.9767441860465
118,Hospital 1014,District 4,Instrument 2,136927,5477.08
119,Hospital 1014,District 41,Instrument 2,90891,90891.0
120,Hospital 1014,District 41,Instrument 3,86193,86193.0
121,Hospital 1014,District 44,Instrument 2,152586,1338.4736842105262
122,Hospital 1014,District 44,Instrument 3,152586,1338.4736842105262
123,Hospital 1014,District 50,Instrument 2,157859,157859.0
124,Hospital 1014,District 50,Instrument 3,48312,48312.0
125,Hospital 1014,District 50,Instrument 4,55080,55080.0
126,Hospital 1014,District 50,Instrument 5,27846,27846.0
127,Hospital 1016,District 13,Instrument 2,524616,50.077892325315005
128,Hospital 1016,District 13,Instrument 3,701104,66.92478045055364
129,Hospital 1016,District 13,Instrument 4,48000,4.581901489117984
130,Hospital 1016,District 13,Instrument 5,2376,0.2268041237113402
131,Hospital 1016,District 41,Instrument 3,3300,3.148854961832061
132,Hospital 1017,District 20,Instrument 2,427,32.84615384615385
133,Hospital 1017,District 20,Instrument 3,137,10.538461538461538
134,Hospital 1018,District 39,Instrument 2,181,0.4160919540229885
135,Hospital 1018,District 39,Instrument 4,181,0.4160919540229885
136,Hospital 1019,District 34,Instrument 2,900,900.0
137,Hospital 1019,District 41,Instrument 2,900,37.5
138,Hospital 102,District 13,Instrument 5,67770,154.373576309795
139,Hospital 102,District 15,Instrument 2,15336,2556.0
140,Hospital 102,District 20,Instrument 2,8280,9.639115250291036
141,Hospital 102,District 28,Instrument 2,118170,376.3375796178344
142,Hospital 102,District 28,Instrument 3,30656,97.63057324840764
143,Hospital 102,District 32,Instrument 5,12000,244.89795918367346
144,Hospital 102,District 34,Instrument 2,4518,4518.0
145,Hospital 102,District 34,Instrument 3,918,918.0
146,Hospital 102,District 34,Instrument 4,3216,3216.0
147,Hospital 102,District 34,Instrument 5,540,540.0
148,Hospital 102,District 34,Instrument 7,600,600.0
149,Hospital 102,District 39,Instrument 2,160,53.333333333333336
150,Hospital 102,District 48,Instrument 2,10200,377.77777777777777
151,Hospital 1021,District 21,Instrument 7,5400,5400.0
152,Hospital 1021,District 39,Instrument 2,505304,21054.333333333332
153,Hospital 1022,District 20,Instrument 2,23302,23302.0
154,Hospital 1022,District 20,Instrument 3,2206,2206.0
155,Hospital 1022,District 28,Instrument 2,98832,98832.0
156,Hospital 1022,District 28,Instrument 3,18204,18204.0
157,Hospital 1022,District 34,Instrument 2,19836,19836.0
158,Hospital 1022,District 34,Instrument 3,13770,13770.0
159,Hospital 1022,District 39,Instrument 2,26558,26558.0
160,Hospital 1022,District 39,Instrument 7,721516,721516.0
161,Hospital 1023,District 29,Instrument 2,159472,89.19015659955257
162,Hospital 1023,District 29,Instrument 3,159472,89.19015659955257
163,Hospital 1023,District 50,Instrument 2,84228,84228.0
164,Hospital 1023,District 50,Instrument 3,19056,19056.0
165,Hospital 1023,District 50,Instrument 4,175555,175555.0
166,Hospital 1024,District 13,Instrument 2,145932,398.72131147540983
167,Hospital 1024,District 13,Instrument 3,6087,16.631147540983605
168,Hospital 1024,District 41,Instrument 2,153468,57.67305524239008
169,Hospital 1024,District 41,Instrument 3,199312,74.9011649755731
170,Hospital 1024,District 41,Instrument 5,16500,6.200676437429538
171,Hospital 1024,District 41,Instrument 8,9324,3.503945885005637
172,Hospital 1024,District 50,Instrument 2,125772,125772.0
173,Hospital 1024,District 50,Instrument 3,34704,34704.0
174,Hospital 1024,District 50,Instrument 7,2520,2520.0
175,Hospital 1025,District 20,Instrument 2,356076,356076.0
176,Hospital 1025,District 20,Instrument 3,175032,175032.0
177,Hospital 1025,District 20,Instrument 7,155100,155100.0
178,Hospital 1025,District 50,Instrument 3,9804,9804.0
179,Hospital 1026,District 20,Instrument 2,72480,345.14285714285717
180,Hospital 1027,District 13,Instrument 2,1815,90.75
181,Hospital 1028,District 13,Instrument 3,5694,5694.0
182,Hospital 1028,District 13,Instrument 4,6480,6480.0
183,Hospital 1029,District 28,Instrument 5,23166,59.248081841432224
184,Hospital 1031,District 50,Instrument 5,12566,12566.0
185,Hospital 1033,District 12,Instrument 2,13650,223.7704918032787
186,Hospital 1033,District 12,Instrument 3,12600,206.55737704918033
187,Hospital 1033,District 13,Instrument 2,63487,1867.264705882353
188,Hospital 1033,District 15,Instrument 2,3600,3600.0
189,Hospital 1033,District 20,Instrument 2,5250,175.0
190,Hospital 1033,District 20,Instrument 3,19049,634.9666666666667
191,Hospital 1033,District 20,Instrument 7,20150,671.6666666666666
192,Hospital 1033,District 32,Instrument 2,5400,5400.0
193,Hospital 1033,District 32,Instrument 3,5172,5172.0
194,Hospital 1033,District 32,Instrument 5,3000,3000.0
195,Hospital 1033,District 34,Instrument 3,360,360.0
196,Hospital 1033,District 41,Instrument 3,16179,735.4090909090909
197,Hospital 1033,District 50,Instrument 2,9142,9142.0
198,Hospital 1033,District 50,Instrument 3,15480,15480.0
199,Hospital 1034,District 13,Instrument 2,224706,5617.65
200,Hospital 1034,District 13,Instrument 3,9906,247.65
201,Hospital 1034,District 19,Instrument 2,4032,4032.0
202,Hospital 1034,District 20,Instrument 2,55923,242.0909090909091
203,Hospital 1034,District 20,Instrument 3,17393,75.2943722943723
204,Hospital 1034,District 41,Instrument 2,7944,24.90282131661442
205,Hospital 1034,District 41,Instrument 3,34122,106.96551724137932
206,Hospital 1034,District 50,Instrument 3,47981,47981.0
207,Hospital 1035,District 13,Instrument 2,61404,533.9478260869565
208,Hospital 1035,District 13,Instrument 3,14004,121.77391304347826
209,Hospital 1035,District 17,Instrument 2,2580,184.28571428571428
210,Hospital 1035,District 17,Instrument 3,432,30.857142857142858
211,Hospital 1035,District 28,Instrument 2,36630,230.37735849056602
212,Hospital 1035,District 28,Instrument 3,7428,46.716981132075475
213,Hospital 1035,District 32,Instrument 2,7440,826.6666666666666
214,Hospital 1035,District 32,Instrument 3,1500,166.66666666666666
215,Hospital 1035,District 32,Instrument 5,1536,170.66666666666666
216,Hospital 1035,District 41,Instrument 2,12780,1161.8181818181818
217,Hospital 1035,District 41,Instrument 3,12600,1145.4545454545455
218,Hospital 1035,District 50,Instrument 2,109230,109230.0
219,Hospital 1035,District 50,Instrument 3,19389,19389.0
220,Hospital 1036,District 20,Instrument 2,804,100.5
221,Hospital 1036,District 20,Instrument 3,276,34.5
222,Hospital 1036,District 41,Instrument 2,1260,1260.0
223,Hospital 1036,District 41,Instrument 3,918,918.0
224,Hospital 1037,District 10,Instrument 2,206239,185.8009009009009
225,Hospital 1037,District 10,Instrument 3,240,0.21621621621621623
226,Hospital 1037,District 10,Instrument 4,120,0.10810810810810811
227,Hospital 1037,District 13,Instrument 2,9000,2.838221381267739
228,Hospital 1037,District 14,Instrument 2,178560,396.8
229,Hospital 1037,District 15,Instrument 2,194442,285.9441176470588
230,Hospital 1037,District 15,Instrument 3,7080,10.411764705882353
231,Hospital 1037,District 15,Instrument 5,58200,85.58823529411765
232,Hospital 1037,District 15,Instrument 7,1218,1.7911764705882354
233,Hospital 1037,District 17,Instrument 2,656371,1289.5304518664047
234,Hospital 1037,District 17,Instrument 3,26471,52.00589390962672
235,Hospital 1037,District 17,Instrument 4,4860,9.548133595284872
236,Hospital 1037,District 19,Instrument 2,13500,38.13559322033898
237,Hospital 1037,District 20,Instrument 2,5223,1.7789509536784742
238,Hospital 1037,District 20,Instrument 3,1379,0.4696866485013624
239,Hospital 1037,District 20,Instrument 7,468,0.15940054495912806
240,Hospital 1037,District 21,Instrument 2,26760,686.1538461538462
241,Hospital 1037,District 24,Instrument 2,3000,428.57142857142856
242,Hospital 1037,District 3,Instrument 2,101550,378.9179104477612
243,Hospital 1037,District 32,Instrument 5,10800,12.258796821793416
244,Hospital 1037,District 34,Instrument 2,89976,386.16309012875536
245,Hospital 1037,District 34,Instrument 3,70344,301.90557939914163
246,Hospital 1037,District 39,Instrument 2,179100,17910.0
247,Hospital 1037,District 39,Instrument 4,120,12.0
248,Hospital 1037,District 4,Instrument 2,120450,396.2171052631579
249,Hospital 1037,District 44,Instrument 2,900000,59.840425531914896
250,Hospital 1037,District 44,Instrument 3,120,0.007978723404255319
251,Hospital 1037,District 48,Instrument 3,2640,5.116279069767442
252,Hospital 1037,District 48,Instrument 7,1830,3.546511627906977
253,Hospital 1037,District 49,Instrument 2,171000,147.7960242005186
254,Hospital 1037,District 50,Instrument 2,87294,87294.0
255,Hospital 1037,District 50,Instrument 3,37001,37001.0
256,Hospital 1037,District 8,Instrument 2,257,0.24616858237547892
257,Hospital 1038,District 39,Instrument 2,5078,6.331670822942644
258,Hospital 1038,District 39,Instrument 7,1240,1.546134663341646
259,Hospital 1038,District 50,Instrument 2,65748,65748.0
260,Hospital 1038,District 50,Instrument 3,4824,4824.0
261,Hospital 104,District 17,Instrument 2,26935,3366.875
262,Hospital 104,District 18,Instrument 7,134246,889.0463576158941
263,Hospital 104,District 19,Instrument 5,332610,505.48632218844983
264,Hospital 104,District 20,Instrument 2,2880,4.120171673819742
265,Hospital 104,District 20,Instrument 3,2400,3.4334763948497855
266,Hospital 104,District 50,Instrument 5,694442,694442.0
267,Hospital 104,District 8,Instrument 2,1080,270.0
268,Hospital 1044,District 13,Instrument 4,49263,1070.9347826086957
269,Hospital 1044,District 20,Instrument 2,17556,501.6
270,Hospital 1044,District 28,Instrument 2,35520,35520.0
271,Hospital 1044,District 28,Instrument 4,2160,2160.0
272,Hospital 1047,District 13,Instrument 5,7530,11.566820276497696
273,Hospital 1047,District 20,Instrument 2,4520,20.639269406392692
274,Hospital 1047,District 20,Instrument 3,2192,10.009132420091325
275,Hospital 1049,District 13,Instrument 2,157698,362.5241379310345
276,Hospital 1049,District 13,Instrument 3,24952,57.36091954022989
277,Hospital 1049,District 13,Instrument 4,360,0.8275862068965517
278,Hospital 1049,District 13,Instrument 5,23994,55.15862068965517
279,Hospital 1049,District 20,Instrument 2,33102,47.492109038737446
280,Hospital 1049,District 20,Instrument 3,20334,29.173601147776182
281,Hospital 1049,District 28,Instrument 2,51002,25.37412935323383
282,Hospital 1049,District 4,Instrument 2,11562,11562.0
283,Hospital 1049,District 41,Instrument 2,108926,43.12193190815518
284,Hospital 1049,District 41,Instrument 3,153102,60.6104513064133
285,Hospital 1049,District 41,Instrument 5,300,0.1187648456057007
286,Hospital 105,District 13,Instrument 2,10272,10272.0
287,Hospital 105,District 13,Instrument 5,180,180.0
288,Hospital 105,District 20,Instrument 2,3930,3930.0
289,Hospital 105,District 20,Instrument 3,1077,1077.0
290,Hospital 105,District 50,Instrument 2,2469,2469.0
291,Hospital 105,District 50,Instrument 3,5752,5752.0
292,Hospital 1050,District 13,Instrument 2,822,5.48
293,Hospital 1051,District 13,Instrument 2,73731,715.8349514563107
294,Hospital 1051,District 15,Instrument 2,30306,30306.0
295,Hospital 1051,District 15,Instrument 3,840,840.0
296,Hospital 1051,District 15,Instrument 5,4500,4500.0
297,Hospital 1051,District 15,Instrument 7,12000,12000.0
298,Hospital 1051,District 17,Instrument 2,1958,78.32
299,Hospital 1051,District 17,Instrument 3,158,6.32
300,Hospital 1051,District 18,Instrument 7,9076,394.60869565217394
301,Hospital 1051,District 20,Instrument 2,91715,268.9589442815249
302,Hospital 1051,District 20,Instrument 3,19796,58.05278592375367
303,Hospital 1051,District 28,Instrument 2,447846,295.21819380355964
304,Hospital 1051,District 28,Instrument 3,243027,160.20237310481212
305,Hospital 1051,District 28,Instrument 4,20784,13.700725115359262
306,Hospital 1051,District 32,Instrument 5,3520,3520.0
307,Hospital 1051,District 39,Instrument 2,2889,2889.0
308,Hospital 1051,District 48,Instrument 7,13344,193.3913043478261
309,Hospital 1052,District 13,Instrument 2,27486,274.86
310,Hospital 1052,District 13,Instrument 3,1489,14.89
311,Hospital 1053,District 20,Instrument 3,817,7.855769230769231
312,Hospital 1054,District 20,Instrument 2,402,0.28053035589672015
313,Hospital 1054,District 34,Instrument 3,396,396.0
314,Hospital 1054,District 34,Instrument 7,19140,19140.0
315,Hospital 1056,District 32,Instrument 2,4800,533.3333333333334
316,Hospital 1056,District 32,Instrument 3,1973,219.22222222222223
317,Hospital 1056,District 41,Instrument 3,9216,384.0
318,Hospital 1057,District 10,Instrument 2,69668,56.36569579288026
319,Hospital 1057,District 13,Instrument 2,265914,701.6200527704485
320,Hospital 1057,District 13,Instrument 3,23429,61.817941952506594
321,Hospital 1057,District 17,Instrument 2,250251,299.3433014354067
322,Hospital 1057,District 18,Instrument 2,627773,490.83111806098515
323,Hospital 1057,District 2,Instrument 2,22848,115.39393939393939
324,Hospital 1057,District 2,Instrument 3,1944,9.818181818181818
325,Hospital 1057,District 20,Instrument 2,119802,216.64014466546112
326,Hospital 1057,District 20,Instrument 3,22200,40.14466546112116
327,Hospital 1057,District 21,Instrument 2,55770,55770.0
328,Hospital 1057,District 21,Instrument 7,25626,25626.0
329,Hospital 1057,District 25,Instrument 2,11028,47.74025974025974
330,Hospital 1057,District 25,Instrument 3,11028,47.74025974025974
331,Hospital 1057,District 28,Instrument 2,6519,100.29230769230769
332,Hospital 1057,District 28,Instrument 3,9630,148.15384615384616
333,Hospital 1057,District 34,Instrument 2,960,960.0
334,Hospital 1057,District 39,Instrument 7,7753,430.72222222222223
335,Hospital 1057,District 41,Instrument 2,40716,203.58
336,Hospital 1057,District 50,Instrument 2,451314,451314.0
337,Hospital 1057,No District Available,Instrument 18,1460000,1460000.0
338,Hospital 1058,District 13,Instrument 2,238,3.5522388059701493
339,Hospital 1058,District 13,Instrument 3,120,1.791044776119403
340,Hospital 1058,District 41,Instrument 2,360,360.0
341,Hospital 1058,District 50,Instrument 2,10153,10153.0
342,Hospital 1058,District 50,Instrument 3,7043,7043.0
343,Hospital 1058,District 50,Instrument 4,437921,437921.0
344,Hospital 1059,District 34,Instrument 2,55014,395.7841726618705
345,Hospital 1059,District 34,Instrument 3,5148,37.03597122302158
346,Hospital 1059,District 34,Instrument 4,144,1.0359712230215827
347,Hospital 1059,District 34,Instrument 5,4200,30.215827338129497
348,Hospital 1059,District 50,Instrument 2,4039,4039.0
349,Hospital 106,District 32,Instrument 2,12960,1296.0
350,Hospital 106,District 32,Instrument 5,2520,252.0
351,Hospital 106,District 41,Instrument 2,234000,106.65451230628989
352,Hospital 106,District 41,Instrument 3,52950,24.13400182315406
353,Hospital 1060,District 13,Instrument 2,180108,629.7482517482517
354,Hospital 1060,District 13,Instrument 3,84772,296.4055944055944
355,Hospital 1060,District 13,Instrument 4,3726,13.027972027972028
356,Hospital 1060,District 20,Instrument 3,35297,767.3260869565217
357,Hospital 1063,District 13,Instrument 3,11256,17.67032967032967
358,Hospital 1063,District 13,Instrument 4,6480,10.172684458398743
359,Hospital 1063,District 20,Instrument 2,14802,75.13705583756345
360,Hospital 1063,District 20,Instrument 3,13920,70.65989847715736
361,Hospital 1063,District 20,Instrument 7,13700,69.54314720812182
362,Hospital 1063,District 32,Instrument 2,3240,3240.0
363,Hospital 1063,District 32,Instrument 3,3936,3936.0
364,Hospital 1063,District 32,Instrument 5,5280,5280.0
365,Hospital 1063,District 41,Instrument 2,11700,1462.5
366,Hospital 1063,District 41,Instrument 3,4332,541.5
367,Hospital 1063,District 41,Instrument 5,8676,1084.5
368,Hospital 1066,District 13,Instrument 2,51816,51816.0
369,Hospital 1066,District 20,Instrument 2,3078,3078.0
370,Hospital 1068,District 10,Instrument 2,206801,608.2382352941177
371,Hospital 1068,District 10,Instrument 3,161086,473.7823529411765
372,Hospital 1068,District 10,Instrument 7,2777,8.16764705882353
373,Hospital 1068,District 13,Instrument 2,26820,10.76676033721397
374,Hospital 1068,District 13,Instrument 3,254628,102.21918908069048
375,Hospital 1068,District 13,Instrument 4,84600,33.9622641509434
376,Hospital 1068,District 13,Instrument 5,36960,14.83741469289442
377,Hospital 1068,District 15,Instrument 2,253254,2944.813953488372
378,Hospital 1068,District 15,Instrument 3,204886,2382.3953488372094
379,Hospital 1068,District 15,Instrument 5,9000,104.65116279069767
380,Hospital 1068,District 18,Instrument 5,4881,3.1429491307147455
381,Hospital 1068,District 19,Instrument 2,60000,94.7867298578199
382,Hospital 1068,District 20,Instrument 2,693316,537.0379550735863
383,Hospital 1068,District 20,Instrument 3,864152,669.3663826491093
384,Hospital 1068,District 28,Instrument 2,107400,462.9310344827586
385,Hospital 1068,District 28,Instrument 3,31800,137.06896551724137
386,Hospital 1068,District 28,Instrument 4,8100,34.91379310344828
387,Hospital 1068,District 28,Instrument 5,9000,38.793103448275865
388,Hospital 1068,District 32,Instrument 2,181277,752.1867219917012
389,Hospital 1068,District 32,Instrument 3,103260,428.46473029045643
390,Hospital 1068,District 34,Instrument 2,64977,746.8620689655172
391,Hospital 1068,District 34,Instrument 3,35367,406.51724137931035
392,Hospital 1068,District 34,Instrument 4,1656,19.03448275862069
393,Hospital 1068,District 34,Instrument 5,365,4.195402298850575
394,Hospital 1068,District 34,Instrument 7,390,4.482758620689655
395,Hospital 1068,District 39,Instrument 2,725,80.55555555555556
396,Hospital 1068,District 39,Instrument 4,22913,2545.8888888888887
397,Hospital 1068,District 41,Instrument 2,196527,201.77310061601642
398,Hospital 1068,District 41,Instrument 3,196923,202.17967145790556
399,Hospital 1068,District 44,Instrument 2,3834000,1272.4858944573514
400,Hospital 1068,District 50,Instrument 3,1176,1176.0
401,Hospital 1068,District 7,Instrument 2,58560,1952.0
402,Hospital 1068,District 8,Instrument 2,73080,292.32
403,Hospital 1069,District 10,Instrument 7,599,99.83333333333333
404,Hospital 1069,District 12,Instrument 2,75096,120.1536
405,Hospital 1069,District 12,Instrument 3,39000,62.4
406,Hospital 1069,District 13,Instrument 2,3960,50.12658227848101
407,Hospital 1069,District 13,Instrument 5,30120,381.26582278481015
408,Hospital 1069,District 15,Instrument 2,9882,898.3636363636364
409,Hospital 1069,District 15,Instrument 3,3072,279.27272727272725
410,Hospital 1069,District 17,Instrument 2,15408,642.0
411,Hospital 1069,District 17,Instrument 3,2231,92.95833333333333
412,Hospital 1069,District 18,Instrument 2,1190,198.33333333333334
413,Hospital 1069,District 18,Instrument 3,4318,719.6666666666666
414,Hospital 1069,District 20,Instrument 2,144342,995.4620689655172
415,Hospital 1069,District 20,Instrument 3,48966,337.6965517241379
416,Hospital 1069,District 28,Instrument 2,28102,562.04
417,Hospital 1069,District 28,Instrument 3,31536,630.72
418,Hospital 1069,District 3,Instrument 2,3120,135.65217391304347
419,Hospital 1069,District 30,Instrument 2,11520,822.8571428571429
420,Hospital 1069,District 32,Instrument 2,10632,625.4117647058823
421,Hospital 1069,District 32,Instrument 3,3315,195.0
422,Hospital 1069,District 32,Instrument 4,1176,69.17647058823529
423,Hospital 1069,District 32,Instrument 5,1200,70.58823529411765
424,Hospital 1069,District 34,Instrument 2,19614,1783.090909090909
425,Hospital 1069,District 34,Instrument 3,8376,761.4545454545455
426,Hospital 1069,District 34,Instrument 4,1470,133.63636363636363
427,Hospital 1069,District 39,Instrument 2,14304,510.85714285714283
428,Hospital 1069,District 39,Instrument 4,6782,242.21428571428572
429,Hospital 1069,District 4,Instrument 2,25344,905.1428571428571
430,Hospital 1069,District 41,Instrument 2,40140,692.0689655172414
431,Hospital 1069,District 41,Instrument 3,43854,756.1034482758621
432,Hospital 1069,District 41,Instrument 5,19371,333.98275862068965
433,Hospital 1069,District 44,Instrument 2,43152,863.04
434,Hospital 1069,District 44,Instrument 3,2131,42.62
435,Hospital 1069,District 5,Instrument 2,6300,370.5882352941176
436,Hospital 1069,District 7,Instrument 2,4662,582.75
437,Hospital 1069,District 8,Instrument 2,20409,485.92857142857144
438,Hospital 1069,District 9,Instrument 2,1380312,517.7464366091523
439,Hospital 107,District 20,Instrument 2,1607,7.110619469026549
440,Hospital 107,District 20,Instrument 3,276,1.2212389380530972
441,Hospital 1071,District 20,Instrument 2,470,4.086956521739131
442,Hospital 1071,District 20,Instrument 3,6359,55.29565217391304
443,Hospital 1072,District 20,Instrument 3,1500,22.058823529411764
444,Hospital 1073,District 12,Instrument 2,3798,3798.0
445,Hospital 1073,District 12,Instrument 3,10098,10098.0
446,Hospital 1073,District 13,Instrument 2,13020,58.648648648648646
447,Hospital 1073,District 13,Instrument 3,1500,6.756756756756757
448,Hospital 1073,District 50,Instrument 2,114000,114000.0
449,Hospital 1073,No District Available,Instrument 7,32070,32070.0
450,Hospital 1074,District 17,Instrument 2,32205,453.59154929577466
451,Hospital 1074,District 20,Instrument 3,10147,1449.5714285714287
452,Hospital 1076,District 41,Instrument 2,113485,23.72178093645485
453,Hospital 1076,District 41,Instrument 3,20916,4.372073578595318
454,Hospital 1076,District 41,Instrument 5,4160,0.8695652173913043
